"regime","sample_size","horizon","method","replications","mean_rmse","sd_rmse","mean_mae","sd_mae","mean_mase","mean_relative_rmse","mean_computation_time_seconds","rmse_win_rate"
"heteroskedastic",200,1,"BG",2,1.20770496270407,0.278518845840337,0.990393663806455,0.233982998858747,1.10574344490729,1.00084464369634,0,0.5
"heteroskedastic",200,1,"BMA_DMA",2,1.21529411396066,0.251705260496968,0.996231146501846,0.212126366377742,1.11199976426522,1.00991957126453,0,0.5
"heteroskedastic",200,1,"GR",2,1.39441162556105,0.17219703638841,1.07391660807395,0.2492459106041,1.19894397646419,1.17013969866344,0.00500000000000256,0
"heteroskedastic",200,1,"SA",2,1.20647649789254,0.276457477846331,0.988690544653116,0.232668126590671,1.10383171408152,1,0,0
"heteroskedastic",200,1,"SL",2,1.21851761727124,0.272322501830322,0.999462801380733,0.224107442645704,1.1157338318577,1.01065274951484,1.67499999999998,0
"heteroskedastic",200,1,"XGB_STACK",2,1.31388163455463,0.294064851794729,1.09047332361234,0.270934959513083,1.21762875459658,1.0897068676161,0.815000000000019,0
"heteroskedastic",200,3,"BG",2,1.46026887135887,0.328728493242934,1.18032668082049,0.30783151645067,1.31812323885266,0.998993492780808,0,0.5
"heteroskedastic",200,3,"BMA_DMA",2,1.47712515227443,0.30301908443661,1.20099434410127,0.282665364574751,1.34086044526941,1.01286339995543,0,0
"heteroskedastic",200,3,"GR",2,1.49692703805426,0.289264249041229,1.20392818694436,0.261150914348673,1.34388649309429,1.02785357048574,0,0
"heteroskedastic",200,3,"SA",2,1.4618566570569,0.330091864936966,1.179238249181,0.309664232832107,1.31693151806234,1,0,0
"heteroskedastic",200,3,"SL",2,1.45531018430332,0.311816842051986,1.17015093650691,0.289437705561806,1.3065826993266,0.996852990956972,1.08,0
"heteroskedastic",200,3,"XGB_STACK",2,1.44769103043987,0.296041756363759,1.1834694000139,0.249646996344228,1.32096995865978,0.992754880785389,0.899999999999991,0.5
"linear_ar2",200,1,"BG",2,0.993355569123087,0.0291604283576458,0.784900870450542,0.00431859188669971,0.952249050221034,1.00137484830224,0,0
"linear_ar2",200,1,"BMA_DMA",2,1.0174395671732,0.0413108507633879,0.809871725397926,0.0206742309194529,0.982000100170346,1.02548469377376,0.00999999999999801,0
"linear_ar2",200,1,"GR",2,1.04678098217747,0.0537828754908193,0.827011937330798,0.0519967119392481,1.001747634007,1.05489193475974,0,0
"linear_ar2",200,1,"SA",2,0.991989692390778,0.0289808341098806,0.785833681756369,0.0102146883227893,0.953183212072342,1,0.00999999999999801,1
"linear_ar2",200,1,"SL",2,1.01161331638819,0.0443255903748438,0.81310296551171,0.0314350202674787,0.985560040322497,1.01956447639985,1.80500000000004,0
"linear_ar2",200,1,"XGB_STACK",2,1.08552863739045,0.000223869182190283,0.855778269371823,0.0277681083540604,1.03746494743529,1.09476476275299,0.744999999999955,0
"linear_ar2",200,3,"BG",2,1.24242041596103,0.0689242083005976,0.952145376379163,0.0277024700435217,1.15439839975701,0.9996181795896,0.00499999999999545,0.5
"linear_ar2",200,3,"BMA_DMA",2,1.27775827165524,0.11991259323772,1.02721103902308,0.133934933987849,1.2419204646196,1.02693367977449,0.0100000000000051,0
"linear_ar2",200,3,"GR",2,1.22426355726276,0.115085512137753,0.95225293689261,0.0866941158288536,1.15255082806751,0.983935605764654,0.00999999999999801,0.5
"linear_ar2",200,3,"SA",2,1.2429314986939,0.0702429616058493,0.949006534850903,0.0238713026686222,1.15071821408464,1,0,0
"linear_ar2",200,3,"SL",2,1.25248185817657,0.080128140190699,0.994596292080489,0.0861587108450271,1.20394794624146,1.00747093704752,1.41499999999999,0
"linear_ar2",200,3,"XGB_STACK",2,1.24497461964021,0.0724119698599074,0.998836076260744,0.0709806973920642,1.20960141738293,1.00159703186911,0.825000000000017,0
"nonlinear_threshold",200,1,"BG",2,0.989543327451942,0.00225799821352192,0.787665765649116,0.0216434263187537,0.848161437469342,1.00010852393853,0.00500000000000256,0.5
"nonlinear_threshold",200,1,"BMA_DMA",2,1.00270564763999,0.0155275929624337,0.796026459578178,0.026539864194442,0.857369843623694,1.01339725064186,0,0
"nonlinear_threshold",200,1,"GR",2,1.07111928551169,0.00181798663779253,0.848485487718388,0.00395120717174597,0.912799335221077,1.08256000283717,0.0150000000000006,0
"nonlinear_threshold",200,1,"SA",2,0.989435771799977,0.00208897827644342,0.786877019174036,0.0227404970566387,0.847361395727967,1,0,0.5
"nonlinear_threshold",200,1,"SL",2,0.999463856884642,0.000652944821776004,0.792567818863273,0.014912980095641,0.853137560238075,1.01013670989078,1.565,0
"nonlinear_threshold",200,1,"XGB_STACK",2,1.04110502045037,0.00400419897534405,0.83080330258059,0.00970003337122627,0.894033745880081,1.05222753967944,0.915000000000006,0
"nonlinear_threshold",200,3,"BG",2,1.12586942313688,0.0111932955833289,0.901555441155819,0.0376925758407635,0.971367409597791,0.996484214130278,0.0149999999999935,0
"nonlinear_threshold",200,3,"BMA_DMA",2,1.12561509290804,0.0283028303292356,0.893707146080052,0.0459460225390322,0.963289420832143,0.996217288895818,0.00999999999999801,0.5
"nonlinear_threshold",200,3,"GR",2,1.18656509938321,0.00105155170146689,0.932627071684771,0.0107858714736877,1.00360253983316,1.05023612917204,0,0
"nonlinear_threshold",200,3,"SA",2,1.12982791692813,0.00623961347374438,0.904904654970923,0.0340810607024746,0.974810705325361,1,0,0
"nonlinear_threshold",200,3,"SL",2,1.12906255540362,0.0170481688393492,0.907740634082405,0.047831807075578,0.978466819421653,0.999296158798281,0.699999999999989,0
"nonlinear_threshold",200,3,"XGB_STACK",2,1.1261104612658,0.00227243533715724,0.888644410960347,0.0358800251736055,0.95740054519543,0.996730468842395,0.855000000000025,0.5
"structural_break",200,1,"BG",2,1.19199970186773,0.1024999512545,0.93541989055242,0.110945566163479,1.04635331985669,0.98291142112775,0,0
"structural_break",200,1,"BMA_DMA",2,1.14327226674332,0.141912734571028,0.892784560229037,0.138789737098002,0.995332095821256,0.941345589075937,0.00500000000000256,0
"structural_break",200,1,"GR",2,1.15137002501924,0.111994239458527,0.898489012240287,0.0985746230832409,1.00585141988435,0.948995834444404,0,0
"structural_break",200,1,"SA",2,1.21229518048993,0.0931333490769147,0.948358480753511,0.106010347975523,1.06148108931649,1,0,0
"structural_break",200,1,"SL",2,1.12952301663156,0.146393964888423,0.888355082774889,0.131955459199152,0.991015799905077,0.929828108520019,0.965000000000018,0.5
"structural_break",200,1,"XGB_STACK",2,1.12855466771789,0.136378096922055,0.881880612991183,0.123042994253496,0.984597764331536,0.929345266713214,0.859999999999985,0.5
"structural_break",200,3,"BG",2,1.12333813675398,0.0888695683336957,0.851147220873961,0.061905387323699,0.95603805456757,0.991949206013451,0.00999999999999801,0
"structural_break",200,3,"BMA_DMA",2,1.11044779439177,0.111527819776649,0.838176567707634,0.0744125468523726,0.940107730361323,0.979834488366375,0,0
"structural_break",200,3,"GR",2,1.1388210023452,0.0325208401577221,0.874271585316836,0.0447011861374783,0.983923472895021,1.00740118716701,0.00500000000000256,0.5
"structural_break",200,3,"SA",2,1.1320874687951,0.0790560893520739,0.858418762331546,0.0575533991368978,0.964699660433174,1,0.00500000000000256,0
"structural_break",200,3,"SL",2,1.10928309981689,0.111507505305445,0.847218743940749,0.0864916256325074,0.949108331489972,0.978803799178761,0.944999999999958,0.5
"structural_break",200,3,"XGB_STACK",2,1.1575532501644,0.0463836791493523,0.88431632004516,0.0354224482312996,0.996219040848342,1.02355966889439,0.790000000000042,0
